,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
0,1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,56.95,1889.5
1,0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,29.75,301.9
2,1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,49.95,587.45
3,1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,106.7,7382.25
4,0,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,1,59.9,3505.1
5,0,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,0,55.3,1530.6
6,1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,30.2
7,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,90.25,6369.45
8,1,1,1,0,2,1,0,1,0,0,2,0,2,2,0,1,1,95.5,181.65
9,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,20.2,20.2
10,0,0,1,1,72,1,2,1,2,2,0,2,2,0,2,0,0,99.9,7251.7
11,0,0,0,0,46,1,0,1,0,0,2,0,0,0,0,1,1,74.8,3548.3
12,1,0,0,0,34,1,2,1,0,2,2,0,2,2,0,1,2,106.35,3549.25
13,0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,1105.4
14,0,0,0,0,63,1,2,0,2,2,2,2,2,0,2,1,1,79.85,4861.45
15,0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,76.2,981.45
16,0,0,0,0,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1,1426.4
17,0,0,0,0,72,1,2,1,0,0,2,2,2,2,2,1,1,107.5,7853.7
18,1,0,1,0,72,0,1,0,2,2,2,0,0,0,2,0,0,42.1,2962.0
19,0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,857.25
20,1,0,1,0,47,1,2,1,0,2,0,0,0,0,1,1,2,78.9,3650.35
21,1,0,0,0,10,1,0,1,2,0,2,0,0,0,0,1,3,79.85,887.35
22,1,0,1,1,62,1,2,2,1,1,1,1,1,1,2,1,0,24.25,1424.6
23,0,0,1,1,45,1,2,2,1,1,1,1,1,1,1,1,1,25.9,1216.6
24,0,0,1,0,7,1,0,1,0,0,2,0,0,0,0,1,0,75.15,496.9
25,0,0,0,0,42,1,0,1,0,2,2,2,2,2,0,1,0,103.8,4327.5
26,1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,99.3,918.75
27,0,0,1,0,35,1,0,0,2,0,0,0,2,0,1,1,0,62.15,2215.45
28,0,0,0,0,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,927.35
29,1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05,113.85
30,1,0,0,0,52,1,0,2,1,1,1,1,1,1,2,0,0,21.0,1107.2
31,0,1,1,0,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2514.5
32,1,0,1,1,3,1,0,1,2,2,0,0,2,0,0,0,2,89.85,248.4
