,PREDICT
0,No
1,No
2,No
3,No
4,No
5,No
6,Yes
7,No
8,No
9,No
10,No
11,No
12,Yes
13,Yes
14,No
15,No
16,Yes
17,No
18,No
19,Yes
20,No
21,No
22,No
23,No
24,Yes
25,No
26,No
27,No
28,Yes
29,Yes
30,No
31,Yes
32,No
33,No
34,No
35,Yes
36,No
37,No
38,No
39,Yes
40,No
41,Yes
42,No
43,No
44,Yes
45,No
46,No
47,No
48,No
49,No
50,No
51,No
52,Yes
53,No
54,Yes
55,No
56,No
57,No
58,No
59,No
60,No
61,No
62,No
63,No
64,No
65,No
66,Yes
67,No
68,No
69,No
70,No
71,No
72,No
73,No
74,No
75,No
76,No
77,No
78,No
79,Yes
80,Yes
81,No
82,No
83,No
84,Yes
85,No
86,No
87,Yes
88,No
89,No
90,No
91,Yes
92,Yes
93,Yes
94,No
95,No
96,No
97,No
98,No
99,No
100,No
101,No
102,Yes
103,No
104,Yes
105,No
106,No
107,No
108,No
109,Yes
110,Yes
111,No
112,No
113,No
114,Yes
115,No
116,No
117,No
118,No
119,No
120,No
121,No
122,No
123,No
124,No
125,No
126,Yes
127,No
128,No
129,Yes
130,No
131,No
132,Yes
133,No
134,No
135,Yes
136,No
137,No
138,No
139,No
140,No
141,No
142,Yes
143,No
144,No
145,No
146,Yes
147,No
148,No
149,No
150,No
151,Yes
152,Yes
153,No
154,Yes
155,No
156,Yes
157,Yes
158,No
159,No
160,Yes
161,No
162,No
163,No
164,No
165,No
166,No
167,No
168,No
169,No
170,No
171,No
172,No
173,Yes
174,No
175,No
176,Yes
177,No
178,No
179,No
180,Yes
181,No
182,No
183,No
184,No
185,No
186,Yes
187,Yes
188,No
189,No
190,No
191,No
192,Yes
193,No
194,No
195,Yes
196,No
197,Yes
198,No
199,Yes
200,No
201,No
202,Yes
203,Yes
204,Yes
205,No
206,No
207,Yes
208,No
209,No
210,Yes
211,No
212,No
213,No
214,No
215,No
216,Yes
217,No
218,No
219,No
220,No
221,No
222,No
223,No
224,No
225,Yes
226,Yes
227,Yes
228,No
229,Yes
230,No
231,No
232,No
233,No
234,Yes
235,No
236,No
237,No
238,No
239,No
240,Yes
241,No
242,Yes
243,No
244,No
245,No
246,Yes
247,No
248,No
249,No
250,Yes
251,No
252,No
253,Yes
254,No
255,Yes
256,No
257,No
258,No
259,No
260,No
261,No
262,No
263,No
264,Yes
265,No
266,Yes
267,No
268,No
269,No
270,Yes
271,Yes
272,No
273,No
274,No
275,No
276,Yes
277,Yes
278,No
279,Yes
280,Yes
281,Yes
282,Yes
283,No
284,Yes
285,No
286,No
287,No
288,Yes
289,No
290,Yes
291,Yes
292,No
293,No
294,No
295,No
296,No
297,No
298,Yes
299,Yes
300,No
301,No
302,No
303,No
304,No
305,No
306,No
307,Yes
308,Yes
309,No
310,No
311,No
312,Yes
313,Yes
314,Yes
315,No
316,No
317,No
318,No
319,No
320,No
321,No
322,No
323,No
324,No
325,No
326,No
327,Yes
328,Yes
329,No
330,No
331,No
332,No
333,Yes
334,No
335,No
336,No
337,Yes
338,No
339,No
340,No
341,Yes
342,Yes
343,No
344,No
345,No
346,No
347,Yes
348,No
349,No
350,No
351,Yes
352,No
353,No
354,No
355,No
356,No
357,No
358,No
359,Yes
360,Yes
361,No
362,No
363,No
364,Yes
365,Yes
366,No
367,No
368,No
369,No
370,Yes
371,No
372,No
373,No
374,No
375,No
376,No
377,No
378,No
379,No
380,No
381,No
382,No
383,No
384,No
385,No
386,No
387,No
388,No
389,No
390,Yes
391,No
392,Yes
393,Yes
394,No
395,Yes
396,No
397,Yes
398,Yes
399,No
400,No
401,No
402,No
403,No
404,Yes
405,No
406,No
407,No
408,No
409,No
410,No
411,No
412,No
413,No
414,No
415,No
416,Yes
417,No
418,Yes
419,Yes
420,No
421,Yes
422,No
423,No
424,No
425,No
426,No
427,Yes
428,Yes
429,No
430,No
431,No
432,Yes
433,No
434,No
435,Yes
436,No
437,No
438,Yes
439,Yes
440,No
441,No
442,Yes
443,Yes
444,Yes
445,No
446,No
447,Yes
448,No
449,No
450,No
451,Yes
452,No
453,No
454,Yes
455,No
456,Yes
457,No
458,No
459,Yes
460,Yes
461,No
462,Yes
463,No
464,No
465,No
466,No
467,No
468,No
469,No
470,No
471,No
472,No
473,No
474,No
475,Yes
476,No
477,No
478,No
479,No
480,No
481,No
482,No
483,No
484,No
485,No
486,No
487,No
488,No
489,No
490,No
491,No
492,Yes
493,No
494,No
495,Yes
496,No
497,No
498,No
499,No
500,Yes
501,No
502,Yes
503,No
504,No
505,No
506,No
507,No
508,No
509,No
510,Yes
511,No
512,No
513,No
514,Yes
515,No
516,Yes
517,No
518,No
519,No
520,No
521,No
522,Yes
523,No
524,No
525,Yes
526,No
527,No
528,No
529,No
530,No
531,Yes
532,No
533,Yes
534,Yes
535,Yes
536,No
537,No
538,Yes
539,No
540,No
541,Yes
542,No
543,No
544,Yes
545,No
546,No
547,Yes
548,Yes
549,No
550,Yes
551,Yes
552,No
553,No
554,No
555,No
556,No
557,No
558,No
559,No
560,No
561,Yes
562,No
563,No
564,No
565,No
566,No
567,No
568,Yes
569,No
570,No
571,No
572,No
573,Yes
574,No
575,Yes
576,No
577,No
578,No
579,Yes
580,No
581,No
582,No
583,Yes
584,No
585,Yes
586,Yes
587,No
588,No
589,No
590,Yes
591,No
592,No
593,Yes
594,No
595,No
596,No
597,Yes
598,No
599,No
600,No
601,Yes
602,No
603,No
604,Yes
605,No
606,Yes
607,No
608,No
609,Yes
610,Yes
611,Yes
612,No
613,Yes
614,No
615,No
616,No
617,No
618,No
619,No
620,No
621,No
622,No
623,Yes
624,No
625,No
626,No
627,Yes
628,No
629,No
630,Yes
631,No
632,No
633,No
634,No
635,No
636,Yes
637,No
638,No
639,No
640,Yes
641,Yes
642,No
643,No
644,No
645,No
646,No
647,Yes
648,No
649,Yes
650,No
651,No
652,Yes
653,No
654,No
655,No
656,No
657,No
658,No
659,No
660,No
661,Yes
662,No
663,Yes
664,Yes
665,Yes
666,Yes
667,Yes
668,Yes
669,Yes
670,Yes
671,Yes
672,No
673,Yes
674,No
675,Yes
676,No
677,No
678,No
679,Yes
680,No
681,No
682,Yes
683,No
684,Yes
685,No
686,Yes
687,No
688,No
689,No
690,Yes
691,No
692,Yes
693,No
694,No
695,No
696,No
697,Yes
698,Yes
699,No
700,No
701,Yes
702,No
703,No
704,No
705,No
706,No
707,No
708,No
709,Yes
710,Yes
711,Yes
712,No
713,No
714,No
715,No
716,Yes
717,No
718,No
719,No
720,No
721,Yes
722,No
723,Yes
724,No
725,No
726,Yes
727,No
728,No
729,No
730,No
731,No
732,No
733,No
734,No
735,No
736,No
737,No
738,No
739,No
740,Yes
741,No
742,No
743,No
744,No
745,No
746,No
747,No
748,No
749,No
750,Yes
751,No
752,No
753,Yes
754,No
755,Yes
756,No
757,No
758,No
759,Yes
760,No
761,No
762,No
763,No
764,No
765,No
766,No
767,No
768,No
769,No
770,No
771,No
772,No
773,No
774,Yes
775,Yes
776,No
777,No
778,No
779,No
780,No
781,No
782,No
783,Yes
784,No
785,No
786,No
787,No
788,No
789,No
790,No
791,No
792,No
793,No
794,No
795,No
796,No
797,No
798,No
799,No
800,No
801,Yes
802,Yes
803,No
804,No
805,Yes
806,No
807,No
808,No
809,No
810,No
811,Yes
812,No
813,No
814,Yes
815,No
816,No
817,No
818,No
819,No
820,Yes
821,No
822,No
823,Yes
824,No
825,No
826,Yes
827,No
828,No
829,No
830,Yes
831,No
832,No
833,No
834,Yes
835,No
836,Yes
837,No
838,No
839,Yes
840,No
841,No
842,No
843,Yes
844,No
845,No
846,Yes
847,No
848,No
849,No
850,No
851,No
852,No
853,No
854,No
855,No
856,No
857,Yes
858,No
859,Yes
860,No
861,Yes
862,No
863,No
864,Yes
865,No
866,Yes
867,Yes
868,No
869,No
870,No
871,No
872,No
873,No
874,No
875,No
876,No
877,No
878,No
879,No
880,Yes
881,Yes
882,No
883,No
884,No
885,No
886,No
887,No
888,No
889,No
890,No
891,Yes
892,No
893,No
894,No
895,No
896,No
897,Yes
898,No
899,No
900,No
901,Yes
902,No
903,Yes
904,No
905,No
906,Yes
907,No
908,Yes
909,Yes
910,No
911,No
912,Yes
913,Yes
914,Yes
915,No
916,No
917,No
918,No
919,No
920,Yes
921,Yes
922,No
923,Yes
924,No
925,No
926,No
927,No
928,No
929,No
930,Yes
931,Yes
932,No
933,No
934,No
935,No
936,Yes
937,No
938,No
939,Yes
940,No
941,No
942,Yes
943,No
944,No
945,No
946,No
947,No
948,Yes
949,No
950,Yes
951,No
952,No
953,No
954,Yes
